Source	Target	Weigth
Kalle Hämäläinen	Sulo Vuolijoki	2
Karl Kautsky	Max Schippel	2
Karl Kautsky	Leo Tolstoi	2
Einar Höök	Heikki Ritavuori	2
Tuomas Piispa Ursin	Wilhelm Jaakkola	2
Tuomas Piispa Ursin	Wäinö Sigfrid Forsströmin	2
Tuomas Piispa Ursin	Wäinö Heikki Hakkarainen	2
Jeremias Sax	Risto Mustonen	2
Juho Harju	Juho Kola	2
Ida Kosonen	Irene Johansson	2
Ida Kosonen	Maria Söderlund	2
Ida Kosonen	Katri Räisänen	2
Ida Kosonen	Ida Takanen	2
Ida Kosonen	Olga Ström	2
A. Kivi	Hemmo Kallio	2
Juho Nestor Nurmi	Kustaa Emil Aaltonen	2
Juho Nestor Nurmi	Kustaa Wilhelm Palmu	2
Juho Nestor Nurmi	Niklas Wirtasen	2
Juho Nestor Nurmi	Matti Veijalainen	2
Juho Nestor Nurmi	Wäinö Sigfrid Forsströmin	2
Juho Nestor Nurmi	Kaarle Kustaa Grönbergin	2
Juho Nestor Nurmi	Wäinö Heikki Hakkarainen	2
Juho Nestor Nurmi	Kaarlo Niininen	2
Juho Nestor Nurmi	Juho Oskar Jokinen	2
Juho Nestor Nurmi	Tuomas Piispa Ursin	2
Juho Nestor Nurmi	Wilhelm Jaakkola	2
Juho Nestor Nurmi	Juho Taawi Tuoda	2
Juho Nestor Nurmi	Richard Lindroosin	2
Tekla Hultin	Yrjö Jahnsson	2
Otto Stenroth	Yrjö Jahnsson	2
Otto Stenroth	Rafael Erich	2
Otto Stenroth	Tekla Hultin	2
A. Mäkelin	Anna Maria Huotari	2
Mandi Säilä	Sissi Sironen	2
Gustaf Oskar Rantala	Johan Nurminen	2
Gustaf Oskar Rantala	Johan Urho Rantala	2
Gustaf Oskar Rantala	Henrik Filppulan	2
Gustaf Oskar Rantala	Wäinö Sigfrid Forsströmin	2
Gustaf Oskar Rantala	Juho Anders Ahlgrenin	2
Gustaf Oskar Rantala	Jaakko Kallio	2
Gustaf Oskar Rantala	Kalle Kantola	2
Gustaf Oskar Rantala	Juho Myntti	2
Gustaf Oskar Rantala	Kaarlo Niininen	2
Gustaf Oskar Rantala	Henrik Wiktor Merisaari	2
Gustaf Oskar Rantala	Karl Saaristo	2
Gustaf Oskar Rantala	Isak Lehtinen	2
Gustaf Oskar Rantala	Johan Kauppinen	2
Gustaf Oskar Rantala	Johan Alfred Mäkipää	2
Gustaf Oskar Rantala	Richard Lindroosin	2
Gustaf Oskar Rantala	Kalle Jäntti	2
Gustaf Oskar Rantala	Niklas Wirtasen	2
Gustaf Oskar Rantala	Wilho Aaltonen	2
Gustaf Oskar Rantala	Kustaa Wilhelm Palmu	2
Gustaf Oskar Rantala	Otto Sallinen	2
Gustaf Oskar Rantala	Wilhelm Jaakkola	2
Gustaf Oskar Rantala	Johan Arthur Taimi	2
Gustaf Oskar Rantala	Matti Veijalainen	2
Gustaf Oskar Rantala	Hjalmar Nieminen	2
Gustaf Oskar Rantala	Juho Kustaa Rantanen	2
Gustaf Oskar Rantala	Jooseppi Rajala	2
Gustaf Oskar Rantala	Kustaa Emil Aaltonen	2
Gustaf Oskar Rantala	Kaarle Kustaa Grönbergin	2
Gustaf Oskar Rantala	Wäinö Heikki Hakkarainen	2
Gustaf Oskar Rantala	Tuomas Piispa Ursin	2
Gustaf Oskar Rantala	Juho Nestor Nurmi	2
Gustaf Oskar Rantala	Juho Taawi Tuoda	2
Gustaf Oskar Rantala	Juho Oskar Jokinen	2
Aliisa Sistonen	Ida Hellstedt	2
Hedda Gabler	Ida Aalberg-	2
Anna Parviainen	Mauri Kartea	2
Anna Parviainen	Mauri Hellsten	2
Einar Böök	Ludvig Hjelt	2
ARVID JÄRNEFELT	Paul Kempe	2
ARVID JÄRNEFELT	Kari Marx	2
