Source	Target	Weigth
Amalia Grönberg	Lauri Hendell	10
Amalia Grönberg	Axel Törnudd	10
Arthur Ferdinand Ikäheimonen	Kustaa Emil Aaltonen	10
Arthur Ferdinand Ikäheimonen	Johan Arthur Taimi	10
Arthur Ferdinand Ikäheimonen	Juho Oskar Jokinen	10
Arthur Ferdinand Ikäheimonen	Richard Lindroosin	10
Arthur Ferdinand Ikäheimonen	Johan Urho Rantala	10
Juho Rissanen	Matti Paasivuori	10
Gerda Lind	Maikki Järnefelt	10
Inga Heine	Leo Tolstoi	10
H. Paasonen	Wäinö Woionmaa	10
Anna Kaitila	Urho Haa-	10
Juho Kustaa Rantanen	Tuomas Piispa	10
Paul Sola	Thore Asp	10
Emil Aho	Jenny Niemelä	10
Kalle Jäntti	Vihtori Eloranta	10
Eino Raitio	Toivo Kuula	10
Elias Brenner	Nils Idmanin	10
Vihtori Leino	W. Peltonen	10
Pietari Kontiainen	Tuomas Raunio	10
Maria Lalhlo	Sandra Koskinen	10
Hanna Kurtti	Martta Kerttula	10
Arndt Auwisen	Hjalmar Nieminen	10
Arndt Auwisen	Juho Kustaa Rantanen	10
Arndt Auwisen	Herman Asikainen	10
Joonas Laitinen	Juho Tulikoura	10
Miina Sillanpää	Yrjö Sirola	10
Valde Hirvikanta	Valde von	10
Kalle Laitinen	Matti Sarkkinen	10
Einar Kalmin	Juho Nykänen	10
Elli Vaara	Emmi Mäkelin	10
Albert Ingman	Edwin Helle	10
Ilmari Kianto	Wäinö Kataja	10
Lauri Hendell	Nathan Söderblom	10
Emanuel Nurmi	Tuomas Piispa	10
Emanuel Nurmi	Henrik Filppulan	10
Emanuel Nurmi	Kasper Renström	10
Walter Herlin	Werner Lindbohm	10
Kaarle Halme	Simo Kaario	10
Kaarle Halme	Karl Marx	10
Kaarle Halme	Matti Paasivuori	10
Kaarle Halme	Otto Kotilainen	10
Hilma Räsänen	Matti Seppälä	10
G. Nyströmin	Helmi Setälä	10
Alfred Werner Joki	Tuomas August Harju	10
Kalle Myllylää	Matti Niemelä	10
Juho Ranta	Otto Karhi	10
Adolf Salonen	Wäinö Heikki Hakkarainen	10
Adolf Salonen	Johan Kauppinen	10
Adolf Salonen	August Voutilainen	10
Adolf Salonen	Edward Pohjatähti	10
Adolf Salonen	Matti Veijalainen	10
Adolf Salonen	Emil Anshelm Mäkelä	10
A. Käpy	Aleksandra Gripenberg	10
Ants Raudjalg	Kerttu Kärkkäinen	10
Eero A. Liakka	Sakari A. Vesterlund	10
Herman Stenberg	Robert Kajanus	10
Johannes Kaipainen	Kaarle Helin	10
Jaakko Kallio	Richard Lindroosin	10
Jaakko Kallio	Kasper Renström	10
H. Lindroosin	I. Astalan	10
H. Lindroosin	Otto Wreden	10
Anna Häggqvist	C. Gustafsson	10
Klas Werner	Ukko Emil Hjalmar Andersin	10
Antti Komonen	Emil Perttilä	10
Leo Tolstoi	Wolter Kilpi	10
Ernst Bonsdorff	Onni Hallsten	10
Johan Nurminen	Mikko Anselm Jussila	10
Juho Turunen	Kaarlo Kytömaa	10
Johan Arthur Taimi	Kustaa Wilhelm Palmu	10
Johan Arthur Taimi	Kustaa Emil Aaltonen	10
Johan Arthur Taimi	Wilhelm Jaakkola	10
Johan Arthur Taimi	Juho Myntti	10
Kaarle Kustaa Grönbergin	Richard Lindroosin	10
Kaarle Kustaa Grönbergin	Kalle Jäntti	10
Kaarle Kustaa Grönbergin	Kalle Kantola	10
Anders Swedberg	Joonas Lagus	10
Arne Lund	Sigurd Eosenberg	10
Frans Heikki Forssellin	Johan Nurminen	10
Frans Heikki Forssellin	Henrik Filppulan	10
Frans Heikki Forssellin	Kaarlo Niininen	10
Frans Heikki Forssellin	Jooseppi Rajala	10
Anders Wilhelm Ingman	G. Johansson	10
Otto Tanner	Valde Hirvikanna	10
Johan Alfred Mäkipää	Kustaa Emil Aaltonen	10
Johan Alfred Mäkipää	Johan Arthur Taimi	10
Anna Pihl	Mandi Lampi	10
Hjalmar Nieminen	Tuomas Piispa Ursin	10
Hjalmar Nieminen	Johan Kauppinen	10
Ida Vemmelpuu	Maria Raunio	10
Allan Serlachius	Matti Helenius	10
G. Colliander	Kaarlo Lojander	10
G. Colliander	Paavo Nyman	10
Matti Kauppila	Matti Seppä	10
Edward Pohjatähti	Emanuel Nurmi	10
Edward Pohjatähti	Juho Nestor Nurmi	10
Edward Pohjatähti	Tuomas Piispa Ursin	10
Edward Pohjatähti	Kustaa Emil Aaltonen	10
Edward Pohjatähti	Richard Lindroosin	10
Helmi Lindström	Hilda Haapanen	10
Kustaa Wilhelm Palmu	Otto Sallinen	10
Kustaa Wilhelm Palmu	Wilhelm Jaakkola	10
Knuutti Pirttikylä	Kotkaniemi Kurikka	10
