Source	Target	Weigth
A. Bergroth	G. Johansson	5
Cletns Ahlman	Rosina Heikel	5
Anton Idndebergin	Emil Hagelbergin	5
Eemil Snellman	John Tornberg	5
Henrik Moliis	Oskar Lilius	5
Charles H. Eden	Walter Scott	5
Herrat Carl	J. Hoffman	5
Carl Björklund	Otto Alcenius	5
Robert Okkosen	Tahwo Lappalainen	5
Arvid Granit	Otto Gummerus	5
Arvid Granit	Matti Maikki	5
Arvid Granit	Oskar Castren	5
Edvin Arpi	Emil af Forselles	5
Tyyni Oulu	Tyyni Pietari	5
Tyyni Oulu	Tyyni Petroskoi	5
H. Molander	I. Edlund	5
H. Molander	J. Lang	5
H. Molander	H. Wiik	5
H. Molander	J. Danielsson	5
H. Molander	O. Stenius	5
H. Molander	O. Åkerman	5
H. Molander	I. Ekroos	5
H. Molander	I. Godenhjelm	5
H. Molander	I. Aspelin	5
Henrik Ibsen	Niilo Sala	5
Esa Savolainen	Lars Krogiuö	5
A. Sehalien	H. Eklund	5
A. Sehalien	O. Tornberg	5
A. Sehalien	H. Granberg	5
Juho Virtanen	Wilhelm Kommonen	5
Karl Sjöblom	Oskar Hellman	5
A. Aspelin	B. Stråhlman	5
A. Aspelin	H. Molander	5
A. Aspelin	A. Oker-Blom	5
A. Aspelin	O. Stenius	5
A. Aspelin	A. Slöör	5
A. Aspelin	O. Åkerman	5
A. Aspelin	A. Wickström	5
A. Aspelin	I. Ekroos	5
A. Aspelin	J. Blomstedt	5
A. Aspelin	I. Edlund	5
A. Aspelin	A. Hartwall	5
A. Aspelin	Hanna Gripenberg	5
A. Aspelin	H. Wiik	5
A. Aspelin	J. Danielsson	5
A. Aspelin	I. Godenhjelm	5
Oskar Castren	Qwarnström Viipuri	5
Georg Bergh	H. Eklund	5
Emil Ljungberg	H. Eklund	5
Emil Ljungberg	U. Baarman	5
Elis Bergroth	Lars Krogius	5
Elis Bergroth	Kilpi nuori	5
Daniel Hjort	Mark Twain	5
Aleksis Kivi	Robert Kajanus	5
Anton Lindeberg'in	Kustaa Ojasen	5
Karl Fagerholm	Matias Bergman	5
Karl Fagerholm	Richard Ekholm	5
Karl Fagerholm	Maria Nieminen	5
Karl Fagerholm	Sakari Heinonen	5
Tyyni Marianham	Tyyni Petroskoi	5
Lars Homen	Lars Horna	5
Cletus Ahlman	Gösta Sundman	5
I. Edlund	J. Lang	5
I. Edlund	O. Åkerman	5
I. Edlund	I. Ekroos	5
I. Edlund	J. Danielsson	5
I. Edlund	O. Stenius	5
I. Edlund	I. Godenhjelm	5
Henrik Aminoff	Paul Wahl	5
Hedda Juselius	Olga Leppänen	5
Hedda Juselius	Minna Canth	5
Emil af Forselles'in	Henrik O. Wrede	5
Konrad Meinanderin	Viktor Ekroos	5
A. af Heurlin	B. Stråhlman	5
A. af Heurlin	H. Molander	5
A. af Heurlin	A. Oker-Blom	5
A. af Heurlin	O. Stenius	5
A. af Heurlin	A. Slöör	5
A. af Heurlin	O. Åkerman	5
A. af Heurlin	A. Wickström	5
A. af Heurlin	I. Ekroos	5
A. af Heurlin	I. Edlund	5
A. af Heurlin	A. Hartwall	5
A. af Heurlin	J. Danielsson	5
A. af Heurlin	H. Wiik	5
A. af Heurlin	I. Godenhjelm	5
Matti Niemelä	Otto Sulander	5
Paul Chmelevski	Wilhelm Kommonen	5
DON JUM	Paul Wahl	5
Lars Homsn	Wilhelm Kommonen	5
I. Godenhjelm	J. Lang	5
I. Godenhjelm	O. Åkerman	5
I. Godenhjelm	J. Danielsson	5
I. Godenhjelm	O. Stenius	5
J. Tornberg	Lars Kroglus	5
J. Tornberg	U. Baarmaan	5
J. Tornberg	Y. Norring	5
I. Forsman	I. Johansson	5
Ida Godenhjelm	Martha Eneberg	5
H. Winckelmann	Karl Pihl	5
Ellen Nerwander	Martha Eneberg	5
Ellen Nerwander	Ilta Ekroos	5
Ellen Nerwander	Ida Godenhjelm	5
B. Stråhlman	I. Edlund	5
B. Stråhlman	J. Lang	5
B. Stråhlman	J. Danielsson	5
B. Stråhlman	H. Molander	5
B. Stråhlman	H. Wiik	5
B. Stråhlman	O. Stenius	5
B. Stråhlman	O. Åkerman	5
B. Stråhlman	I. Ekroos	5
B. Stråhlman	I. Godenhjelm	5
B. Stråhlman	I. Aspelin	5
Anna Kanniainen	Hedda Juselius	5
Alfred Fredrik Lindberg	Viktor Ekroos	5
CARL BORENIUS	Qwarnström Viipuri	5
CARL BORENIUS	Esa Savolainen	5
CARL BORENIUS	Henrik Moliis	5
Gustaf Sucksdorff	Theodor Löfftröm	5
John Lindbäck	Matti Niemelä	5
John Lindbäck	Julius Åkerman	5
H. von Bonsdorff	Victor de	5
Anton lAndebergin	Kustaa Ojasen	5
Anna Wesala	Karl Helenius	5
Hanna Gripenberg	J. Blomstedt	5
Hanna Gripenberg	I. Aspelin	5
Georg Sowelius	Joel Hedström	5
Georg Sowelius	Matti Niemelä	5
Georg Sowelius	Martin Ericsson	5
Emil Tuisku	Selim Åberg	5
Emil Tuisku	Olli Toivonen	5
Emil Tuisku	Israel Karjalainen	5
Emil Tuisku	Hjalmar Österlund	5
Emil Tuisku	Fredrika Tuhti	5
Emil Tuisku	Karl Fagerholm	5
G. Johansson	I. Johansson	5
Tyyni Pietari	Tyyni Tartto	5
Gustaf Erholm	Oskar Thil	5
Aina Gkberg	Oskar Lindblad	5
Johan Hukka	Petter Perviainen Joensuu	5
Johan Hukka	Petter Parviainen Joki	5
Carl Jacobsen	Pyhä Raamattu	5
Carl Jacobsen	John Stenbergin	5
Carl Jacobsen	Fridolf Zetterman	5
Hrat John	Sven Dufva	5
Hrat John	U. Baarmaan	5
A. Genetz	O. Donner	5
Tyyni Hernösand	Tyyni Kuopio	5
Tyyni Hernösand	Tyyni Sortawala	5
Ivar Niska	Qwarnström Viipuri	5
Edla Forsberg	Johan Eklund	5
A. Pyhälä	Hedda Juselius	5
H. Granberg	X. Jacobsen	5
H. Granberg	Å. Tornberg	5
Gösta Sundman	Gustaf Sueksdorff	5
Gösta Sundman	Gustaf Suekidorff	5
Gösta Sundman	Wilhelm Kommonen	5
