Source	Target	Weigth
Sören Berner	Vilhelm Kommonen	5
Georg Scheutz	Karl Smedmanin	5
Georg Scheutz	Lauri Pelkonen	5
Martin Veckström Joensuu	Petter Parviainen	5
Emil Snellman	Fredrik Thorn	5
Henrik Backlund	Karl Franck	5
Arthur Broberg	Karl Franck	5
Arthur Broberg	Viktor Hellman	5
Gunnar Hjelt	Ia Poika	5
Gunnar Hjelt	Valter Nordlnnd	5
Gunnar Hjelt	Valter Nordland	5
Gunnar Hjelt	Verner Falander	5
Aleksis Rautio	Emelie Stenberg	5
Aleksis Rautio	Naemi Kahilainen	5
Elin Danielsson	Helmi Sjöstrand	5
Kasimir Lönnbohm	Mikael Johnsson	5
Emil Holmgren	Kaarlo Forsman	5
Karl Franck	Viktor Hellman	5
Hemmo Kallio	Sirkka Hertzberg	5
Hemmo Kallio	Hilma Rantanen	5
Hemmo Kallio	Maria Rängman	5
Hemmo Kallio	Kirsti Sainio	5
Eliel Aspelin	O. Hynsn	5
Eliel Aspelin	Pierre Loti	5
Eliel Aspelin	O. Hyn6n	5
B. Karvonen	Gösta Cederberg	5
Emil Nyman	John Sjödahl	5
Emil Nyman	Karin Fontell	5
A. Vaenerberg	Karl H. Lindholm	5
Emil Ljungberg	Salvador Talavera	5
Emil Ljungberg	La Boda	5
Emil Ljungberg	Ernst Hedman	5
John Dahlberg	Victor Ek	5
Bertil af Björksten	Verner Palander	5
Bertil af Björksten	John Dittmar	5
G. Lönnbeck	Ida Hannikainen	5
Tyyni Jyväskylä	Tyyni Kuopio	5
A. Meurman	Emil Lassi	5
A. Meurman	Teuwo Pakkala	5
A. Meurman	Eliel Aspelin	5
A. Meurman	Santeri Saarinen	5
A. Meurman	Kustavi Grotenfelt	5
Juhani Aho	Pekka Aho	5
Juhani Aho	Louis Sparre	5
Ludvig Hjelt	Vilhelm Rohte	5
Johannes Pesonen	Valter Nordlund	5
Axel Pihlgren	Otto Hjelt	5
Fredrik Cygnaeuksen	Mikael Johnsson	5
Arthur Ahlqvist	H. Hollmén	5
Kaarlo Keihäs	Taavi Pesonen	5
Kaarlo Keihäs	Olga Salo	5
Irene Mendelin	Jaakko Päivärinta	5
Irene Mendelin	Julius Krohn	5
Helmi Talas	Kirsti Suonio	5
Alfred Rnotzi	Matti Kekki	5
Uno Nyberg	Vilho Selin	5
Leo Tolstoi	Niilo Mantere	5
Aline Toppelius	Eero Järnefelt	5
Aline Toppelius	Amelie Lundahl	5
Karl Söderman	Oscar Osberg	5
Alvar IVlalén	Alvar Wlalén	5
Alvar IVlalén	Emil af Forselles	5
H. Hakulinen	Lars Krogius	5
Carl Walin	Oskar Lilius	5
Carl Walin	Victor Söderström	5
A. Kohonen	O. Fawsn	5
A. Kohonen	O. Hallftsn	5
A. Kohonen	Santeri Taarinen	5
A. Kohonen	Lucina Hagman	5
A. Kohonen	U. Lilius	5
A. Kohonen	A. Vartiainen	5
A. Kohonen	O. Fawin	5
Alli Nissinen	O. Fawsn	5
Alli Nissinen	Oliel Aspelin	5
Alli Nissinen	U. Lilius	5
Alli Nissinen	O. Hallftsn	5
Alli Nissinen	O. Hallsten	5
Alli Nissinen	Teulvo Pakkala	5
Alli Nissinen	Santeri Hääriä	5
Atte Franck	Konrad Sundman	5
Atte Franck	Emil Nyman	5
J. Soikkonen	Mathilda Björkman	5
Hector Berlioz	Robert Kajanus	5
Onni Hallsten	SAMULI SAEIO	5
Onni Hallsten	SAMULI BARIO	5
