Source	tags	party	district
Edla Johanna Katainen	Uusi Suometar		
Johannes Kaipainen	Uusi Suometar		
Pehr Oadd	Helsingin Sanomat		
Ilmari Tähtinen	Työmies		
August Strindberg	Helsingin Sanomat;Työmies		
Toivo Kuula	Uusi Suometar;Työmies		
Kalle Välimäki	Työmies		
Adolf Borgelinin	Työmies		
Karl Gustaf Huurre	Työmies		
A. Kiwi	Työmies		
Ida Argelander	Työmies		
Wilho Reima	Helsingin Sanomat;Työmies	Suom.	Uudenmaan läänin
Oskari Lylykorpi	Työmies		
Anni Ahonen	Työmies		
Lyydia Santanen	Työmies		
Hilda Ihalainen	Työmies		
KUNO ALITHAN	Helsingin Sanomat		
Lyydia Laatikko	Työmies		
Otto Wrede	Helsingin Sanomat		
Sigrid Lindberg	Helsingin Sanomat		
Ellinor Ingman	Helsingin Sanomat		
Tuomas Reinikainen	Helsingin Sanomat		
August Pesonen	Uusi Suometar		
Arno Lund	Helsingin Sanomat		
Kalle Sinivuori	Työmies		
Selma Lagerlöf	Uusi Suometar;Työmies		
Aksel Frisk	Työmies		
Aleksandra Gripenberg	Uusi Suometar		
Mary Lundqvist	Helsingin Sanomat		
Aksel Alanderin	Uusi Suometar;Helsingin Sanomat		
Johannes Pajunen	Työmies		
Mandi Säilä	Työmies		
Alfred Holmström	Helsingin Sanomat		
Sofia Sjöblad	Helsingin Sanomat		
Jalo Järnefelt	Uusi Suometar		
Karl Kautsky	Työmies		
Hannes Ryömä	Työmies		
Frans Heikki Forssellin	Uusi Suometar		
Teodor Munck	Helsingin Sanomat		
Tekla Hultin	Uusi Suometar;Työmies		
Georg Segerstrålen	Helsingin Sanomat		
Ernst Nevalinna	Työmies		
Vilhelm Teodor Rosenqvist	Työmies		
Esther Niska	Työmies		
Juho Kustaa Wirtanen	Uusi Suometar		
Väinö Jokinen	Työmies		
Oscar Wilde	Työmies		
Eliel Mattila	Uusi Suometar;Helsingin Sanomat		
Gabrielle Laulu	Helsingin Sanomat		
Alli Nissinen	Uusi Suometar;Helsingin Sanomat	Nuor.	Kuopion läänin läntinen
Anna Larsson	Helsingin Sanomat		
Alfred Mäkipää	Työmies		
Mikael Nyberg	Uusi Suometar;Helsingin Sanomat		
Otto Tanner	Uusi Suometar;Helsingin Sanomat		
Ida Irene Rönn	Uusi Suometar		
Kurikka Rynnäkkö	Työmies		
Kalle Klinga	Työmies		
Amalia Zimmermann	Helsingin Sanomat		
Rafael Erich	Työmies		
Anders Johan Forsman	Uusi Suometar;Työmies		
Aapeli Nieminen	Uusi Suometar		
Mikko Uotinen	Työmies		
Taneli Nykänen	Uusi Suometar		
Werner Lindbohm	Helsingin Sanomat;Työmies		
Hanna Lalli	Työmies		
August Voutilainen	Uusi Suometar		
Teuvo Pakkala	Uusi Suometar		
Kaapro Jääskeläinen	Työmies		
Väinö Mäkinen	Uusi Suometar;Työmies		
Maiju Seppälä	Uusi Suometar;Työmies		
Carl Söderström	Helsingin Sanomat		
Valter Parwiainen	Uusi Suometar		
Matilda von Troil	Helsingin Sanomat		
Severi Alanne	Helsingin Sanomat		
Hanna Ulu	Työmies		
Antti Ollila	Työmies		
Max Schippel	Työmies		
Kaarlo Tuuli	Helsingin Sanomat		
Henrik Filppula	Helsingin Sanomat;Työmies		
Fridolf Gustafsson	Uusi Suometar	RKP	Uudenmaan läänin
Oskari Salo	Uusi Suometar		
Mandi Hytönen	Helsingin Sanomat		
Uotinen Mikko	Työmies		
Lauri Tuunainen	Helsingin Sanomat		
Antti Eronen	Helsingin Sanomat		
Augusta Soininen	Uusi Suometar		
Wäinö Heikki Hakkarainen	Uusi Suometar;Työmies		
Aksel Hougberg	Työmies		
Fritz Ernst	Työmies		
John Pettersson	Helsingin Sanomat		
Helmi Selin	Helsingin Sanomat		
Albert Edelfelt	Uusi Suometar;Helsingin Sanomat		
Fritz Oeitlin	Helsingin Sanomat		
Maria Niskanen	Helsingin Sanomat		
Laine Fredriksberg	Työmies		
Lauri Lettomäki	Työmies		
Leonid Andrejev	Työmies		
Otto Weekman	Uusi Suometar		
Jaakko Hurtti	Uusi Suometar		
Lilli Högbahl	Uusi Suometar		
Aune Krohn	Uusi Suometar		
Fredrik Cygnaeuksesta	Helsingin Sanomat		
H. Lindroos	Helsingin Sanomat		
Lude Latour	Helsingin Sanomat		
Mary Wood-Allen	Helsingin Sanomat		
Maria Raunio	Uusi Suometar;Työmies	SDP	Vaasan läänin itäinen
Y. Sirola	Työmies		
Augusta Korhonen	Uusi Suometar		
Amanda Mäkinen	Uusi Suometar		
Olga Leino	Työmies		
Hanna LalU	Työmies		
Arvi Jännes	Uusi Suometar		
Gerda Lind	Uusi Suometar;Helsingin Sanomat		
Armas Launis	Uusi Suometar;Helsingin Sanomat		
Herman Lindholm	Työmies		
Emil Artur Bergström	Uusi Suometar;Työmies		
Elvira Willman	Työmies		
Ernst Lampen	Helsingin Sanomat;Työmies		
Kaarle Krohn	Uusi Suometar		
Martti Birckin	Helsingin Sanomat		
Anna Ahlfors	Helsingin Sanomat		
Emil Perttilä	Työmies	SDP	Uudenmaan läänin
Axel Jfigerroos	Uusi Suometar		
Arndt Auwisen	Työmies		
Mikael Johnsson	Helsingin Sanomat		
Jean Sibelius	Helsingin Sanomat		
Lennart Cajander	Uusi Suometar;Helsingin Sanomat		
Aarne Tirronen	Uusi Suometar		
Lars Krogius	Helsingin Sanomat		
Hilma Lassila	Työmies		
Emmy Laine	Työmies		
John Lamus	Helsingin Sanomat		
W. Söderhjelm	Helsingin Sanomat		
Kyösti Järvinen	Työmies		
E Ljungberg	Helsingin Sanomat		
Santeri Alkio	Helsingin Sanomat	Nuor., SML	Vaasan läänin eteläinen
Kaarlo Saarnio	Työmies		
Agnes Poschner	Helsingin Sanomat;Työmies		
Anni Pöysä	Työmies		
Östen Elfving	Helsingin Sanomat		
Kaarlo Nissinen	Työmies		
Alanne Fredriksberg	Työmies		
Ingeborg Maria	Uusi Suometar;Helsingin Sanomat		
Matti Veijalainen	Uusi Suometar;Työmies		
Juho AnderS Ahlgren	Uusi Suometar		
Hilma Siniluoto	Uusi Suometar		
Hannes Nylander	Helsingin Sanomat		
Anna Erene Mäkinen	Uusi Suometar		
Aaro Väänänen	Helsingin Sanomat		
Armas Järnefelt	Uusi Suometar;Helsingin Sanomat		
Eemil Elo	Työmies		
Eero Järnefelt	Helsingin Sanomat		
Taneli Hurri	Uusi Suometar		
Isak Kalliomäki	Uusi Suometar;Työmies		
Oskar Hakuikä	Helsingin Sanomat		
Jalmari Hahl	Uusi Suometar;Helsingin Sanomat;Työmies		
Filip Grönvall	Helsingin Sanomat		
Wilhelmina Korhonen	Uusi Suometar		
Mikko Sipponen	Uusi Suometar	Suom.	Viipurin läänin itäinen
Olli Räsänen	Uusi Suometar		
Wäinö Voionmaa	Uusi Suometar;Työmies		
Frans Oskar Nurmi	Työmies		
Johannes Johansson	Helsingin Sanomat		
Adolf Salonen	Uusi Suometar;Työmies		
Arwi Lindroos	Helsingin Sanomat		
Marcel Casadesua	Uusi Suometar		
Yrjö Veijola	Helsingin Sanomat		
Otto Stenroth	Työmies		
Emil Falck	Uusi Suometar		
Ida Kantanen	Työmies		
W:m Beck	Helsingin Sanomat		
Fiina Nikander	Työmies		
Fredrik Svuren	Helsingin Sanomat		
Ines Alice Lindholm	Uusi Suometar		
Marcel Casadesus	Uusi Suometar;Helsingin Sanomat		
Matti Pesonen	Helsingin Sanomat	Nuor.	Kuopion läänin läntinen
