Source	tags	party	district
Björnstjerne Björnsonin	Helsingin Sanomat		
Hilma Myöhänen	Työmies		
Helge Hartman	Helsingin Sanomat		
Helmi Tähtinen	Uusi Suometar		
EINO VOIONMAA	Uusi Suometar		
Viktor Saarinen	Uusi Suometar;Työmies		
Ida Kosonen	Työmies		
Juho Taawi Tuoda	Työmies		
Heinrich von	Helsingin Sanomat		
Hilda Tammelo	Työmies		
Heikki Rcnwall	Uusi Suometar		
Eva Lessmann	Helsingin Sanomat		
Arnold Napoleon Eklund	Helsingin Sanomat;Työmies		
August Raatikainen	Helsingin Sanomat	SML	Kuopion läänin läntinen
Emanuel Nurmi	Uusi Suometar;Työmies		
Karolina Eskelln	Helsingin Sanomat		
Otto Sallinen	Uusi Suometar;Työmies		
Hilma Maria	Työmies		
Axel Cedercrentz	Helsingin Sanomat		
Knut Sundman	Helsingin Sanomat		
Heikki Kokko	Työmies		
Aino Kallas	Uusi Suometar;Helsingin Sanomat;Työmies		
Hilja Liima	Työmies		
Malla Mikkola	Työmies		
Hilma Rantanen	Työmies		
Juho Myller	Helsingin Sanomat		
Albin Waljakka	Työmies	SDP	Mikkelin läänin
Robert Blomqvist	Helsingin Sanomat		
Miina Kaipainen	Työmies		
Albert Veltheim	Helsingin Sanomat		
Antti Jokinen	Uusi Suometar;Helsingin Sanomat;Työmies		
Ida Warjoranta	Työmies		
Herman Asikainen	Uusi Suometar		
George Washington	Helsingin Sanomat		
Wäinö Sigfrid Forsströmin	Työmies		
O. Oksanen	Työmies		
Aleksis Kivi	Uusi Suometar;Helsingin Sanomat;Työmies		
Aino Eronen	Työmies		
Herra A.	Helsingin Sanomat		
Anni Collan	Työmies		
Oskari Leiwo	Työmies	SDP	Turun läänin pohjoinen
Fiina Ekman	Työmies		
Tuomas Piispa Ursin	Työmies		
Sjöblom Vaasa	Helsingin Sanomat		
Aleksandra Gripen	Uusi Suometar		
Kusti Salmela	Uusi Suometar		
Väinö Tolkka	Työmies		
Frans Johan Emil Leschin	Työmies		
Lauri Mäkinen	Uusi Suometar		
Einar August Salminen	Työmies		
Laine Häme	Työmies		
Arthur Lindfors	Helsingin Sanomat		
Miina Huttunen	Helsingin Sanomat		
Maikki Friberg	Työmies		
Mandi Lehtosalo	Työmies		
Vilho Sellnheimo	Työmies		
Kaarlo Brofeldt	Helsingin Sanomat		
Akseli Callén- Kalela	Työmies		
Wilhelm Meyer-	Työmies		
Axel F.	Helsingin Sanomat		
Oskar Hakulm	Helsingin Sanomat		
Oskar Nakuikä	Helsingin Sanomat		
Kalle Kiipula	Helsingin Sanomat		
Frans Nuupala	Työmies		
Aleks Koho	Helsingin Sanomat		
Martti Wuori	Uusi Suometar		
Elin Elmgren	Helsingin Sanomat		
Tekla Hult	Uusi Suometar		
JOHANNES BROFELDT	Helsingin Sanomat		
Vilhelm Hjort	Työmies		
Johannes Gummerus	Helsingin Sanomat		
Mandi Terho	Uusi Suometar;Työmies		
Jalo Kalima	Uusi Suometar;Helsingin Sanomat		
Hans Estlander	Helsingin Sanomat		
Knut Hamsun	Helsingin Sanomat;Työmies		
Ragnar Kramer	Helsingin Sanomat		
Hjalmar Nieminen	Uusi Suometar;Työmies		
Hilma Hintsanen	Uusi Suometar		
Henri Casadesus	Helsingin Sanomat		
Helena Braatz	Helsingin Sanomat		
A. Grotenfelt	Uusi Suometar		
Klara Erika Vikström	Helsingin Sanomat;Työmies		
