Source	Target	Weigth
Allan Serlachius	Olio Hyyry	5
Ewert Suonio	Otto TuuloS	5
Ewert Suonio	Olga Leino	5
Ewert Suonio	Kirsti Suonio	5
Ewert Suonio	Olga Salo	5
A. Lilius	ONNI HALLSTEN	5
Kaarlo Hammar	Wäinö Kataja	5
Anton Ståhlberg	Arvid Grönberg	5
Arvid Grönberg	Heikki Seppälä	5
Fritz Wiik	Verner Palander	5
Fritz Wiik	Verner Palander Vara	5
Fritz Wiik	Uno Kyberg	5
Fritz Wiik	Verner Påtänder	5
Fritz Wiik	Verner Brettholtz	5
Olga Salo	Otto TuuloS	5
A. Noponen	H. Klemetti	5
Hilda Flodin	Maria Wiik	5
Alma Auer	Mimmi Lähdeoja	5
Alma Auer	Otto Närhi	5
Alma Auer	Kirsti Suonio	5
Alma Auer	Hanna Granfelt	5
Emil Falck	Uuno Salmela	5
Hämeenlinna Jo	Otto Weckman	5
Ella Lilius	John Pettersson	5
Mimmi Lähdeoja	Otto TuuloS	5
Jonas Castren	Verner Påtänder	5
Aleksandra Gripenberg	Hilda Käkikoski	5
Adolf Lindfors	Elli Malm	5
Adolf Lindfors	Otto Närhi	5
Adolf Lindfors	Olga Salo	5
Kaarlo Keihäs	Olga Leino	5
Maria Lamminkoski	Mauri Hailea	5
Heikki Imberg	Y. LÖFGREN	5
Hämeenlinna Johm	Paawo Paloheimo	5
Erkki Melartin	Jean Sibelius	5
Erkki Melartin	Oscar Wilde	5
Antti Mikkola	Verner Palander	5
Eino Leino	Saara Wacklin	5
Karl Lilje	Viktor I	5
Victor Ek	Vilho Selin	5
Hilja Pärssinen	Miina Sillanpää	5
Arthur Hjelt	Jaakko Gummerus	5
Lydia Yaljakka	Maria Lamminkoski	5
Conrad iP	Gunnar Hjelt	5
Eero Kilpi	Kirsti Suonio	5
Arvi Grotenfelt	Mikael Johnsson	5
Arvi Grotenfelt	Maila Talwio	5
Verner Palantter Vara	Vilho Selin	5
