Source	Target	Weigth
Harriet Beecher	Waldemar Sejer	5
Harriet Beecher	Harry Hendersonin	5
Axel Pihlgren	Victor Liljeroth	5
Axel Pihlgren	Viktor Ekroos	5
Axel Pihlgren	Eduard Evensen	5
Axel Pihlgren	Gustav Paulig	5
Axel Pihlgren	OSKAR RUNDBERG	5
Alfred Hertzberg	Knut Kieli	5
Walter Scott	Yrjö Koskinen	5
Walter Scott	Wilho Soini	5
Ernst Dahlström	Selim von Pfalei	5
Edvin Ajmelaeus	Gustav Paulig	5
Martin Ericsson	Oskar Thil	5
I. Forsman	I. Krohn	5
A. Elfwing	Mathilda Försten	5
Carl Stenqwist	Oskar af Heurlin	5
Frithiof Hultman	Knut Hjellin	5
Olli Wuori	Robinson Crusoe'n	5
Karl Liikanen	Selim von	5
John Stenberg	Theodor Thorman	5
Aleksis Ström	Gustaf Sohlström	5
Aleksis Ström	Karl Hougberg	5
Aleksis Ström	John Aspegren	5
Selim von Pfalei	Theodor Thorman	5
Selim von Pfalei	Viktor Forselius	5
Elis Emelius	Tohtori Marcus	5
Adolf Törngren	Jan Forsen	5
A. Klami	Elias Lönnrot	5
A. Klami	Johan Sil	5
A. Klami	Carl Borenius	5
Lars Thuring	Wilhelm Cadenius	5
Lars Thuring	Oskar Hyne'n'in	5
Lars Thuring	Walter Scott	5
Fritz Reuter	Hamlet Tanska	5
Fritz Reuter	Paavo Cajander	5
Fritz Reuter	Georg Sand	5
Victor Liljeroth	Wilhelm Kommonen	5
Gustaf Eryoim	Theodor Thorman	5
Karl Boström	Theodor Tborman	5
Karl Boström	Theodor Storman	5
August Eklöf	Uno Kurtsn	5
August Eklöf	Uno Äurtén	5
August Eklöf	Viktor Hoving	5
Andreas Jelky'n	Otto Ludwig'ilta	5
Robert Uggla	Uno Äurtén	5
Robert Uggla	Uno Kurtsn	5
Robert Uggla	Uno Kurttu	5
Wilhelm Kammoa	Wilhelm Kommonen	5
Alfred Herhberg	OSKAR RUNDBERG	5
Elias Lönnrot	OSKAR LINDBLAD	5
A. Törngren	Ida Boije	5
Georg Sand	Hamlet Tanska	5
Georg Sand	Paavo Cajander	5
Gustaf Sohlström	John Aspegren	5
Gustaf Sohlström	Karl Hougberg	5
Erkki Almberg	Waldemar Sejer	5
Charles Dickens	Paavo Cajander	5
Charles Dickens	Georg Sand	5
Charles Dickens	Nikolai Gogol	5
Charles Dickens	Hamlet Tanska	5
Charles Dickens	Fritz Reuter	5
Antti Jalava	Edward Töth	5
Fredrik Liljeros'in	Oskar Palmgren	5
Fredrik Liljeros'in	Konrad Meinander	5
Ida Lindh	Theodor Thorman	5
Carl Wikström	Uno Kurtsn	5
August Ellöf	Jon Sandman	5
Karl Palmgren	OSKAR LINDBLAD	5
Viktor Ekroos	Wilhelm Kommonen	5
I. Malm	Karl Borg	5
Carl Borenius	Knut Kjellin	5
Carl Borenius	Selim von Pfaler	5
Carl Borenius	Selim von	5
Carl Borenius	Petter Parviainen	5
Carl Borenius	SeveruS Konkola	5
Gustaf Paulig	Jan Forssn	5
Gustaf Paulig	Wilhelm Kommonen	5
Nikolai Gogol	Waldemar Ghurberg	5
Nikolai Gogol	Walter Scott	5
Selim von Pfaler	Walter Scott	5
Alfred Vjörkstön	Georg Snellman	5
Karl Bergbom	Theodor Thorman	5
Kasimir Molander	Mathilda Försten	5
John Lindbäck	Martin Ericsson	5
John Lindbäck	Otto Wendelin	5
John Lindbäck	Julius Åkerman	5
G. Vt	OSKAR LINDBLAD	5
Adolf Fredrik Salin	Bengt Stenius	5
Jan Forsen	Lydecken K	5
Jan Forsen	Jon Tandman	5
Eduard Evensen	OSKAR LINDBLAD	5
Eduard Evensen	OSKAR RUNDBERG	5
Gustaf Erholm	Selim von Pfaler	5
Gustaf Erholm	Selim von	5
Gustaf Erholm	Julius Åkerman	5
Gustaf Erholm	Oskar Thil	5
A. Sola	Mathilda Försten	5
Konrad Wahlroos	Tohtori Marcus	5
Herra Th	Lars Krogius	5
Otto Ludwig'ilta	Schönberg-Cotta Perhe	5
Bengt Stenius	Oskar Palmgren	5
Alfred Björksten	Uno Kurton	5
Alfred Björksten	Robert Uqgla	5
Alfred Björksten	August Etlöf	5
Alfred Björksten	Jan Fors6n	5
Alfred Björksten	Fritz Wiik	5
Charles Deslys'in	Waldemar Churberg	5
Alma Fohftröm	Theodor Thorman	5
Theodor Storman	Viktor Forselius	5
Arne Petersen	Karl Boström	5
A. Boehm	I. Krohn	5
Adolf Kotilainen	OSKAR LINDBLAD	5
A. Holmström	Carl Borenius	5
Emil Dahl	Karl Liikanen	5
Emil Dahl	Theodor Storman	5
Karl Hougberg	Otto Wendelin	5
A. Himberg	Jaakko Forsman	5
Alfred Sjöström	Wilhelm Cadenius	5
Anton Lilius	Martti Luterus	5
I. Krohn	Yrjö Koskinen	5
Edward Töth	Walter Scott	5
Alma Fohström	Viktor Ekroos	5
Alma Fohström	OSKAR LINDBLAD	5
Alma Fohström	Don Juan	5
Walter Scott	Viktor Ekroos	6
Walter Scott	Viktor Forselius	6
Hjalmar Nathorst	Wilhelm Kommonen	6
A. Elfwing	Kasimir Molander	6
A. Elfwing	A. Sola	6
Carl Stenqwist	Walter Scott	6
Elias Ijönnrot	Herra Th	6
Frithiof Hultman	Petter Parviainen	6
John Clark	Wilhelm Kommonen	6
Karl Liikanen	OSKAR RUNDBERG	6
Martti Luterus	Olli Wuori	6
Aleksis Ström	Otto Wendelin	6
Adolf Törngren	Viktor Hoving	6
Adolf Törngren	Gustaf Paulig	6
Karl Boström	Walter Scott	6
August Eklöf	Gustaf Paulig	6
August Eklöf	Lydecken K	6
Andreas Jelky'n	Schönberg-Cotta Perhe	6
Alexander Pushkin'ilta	Schönberg-Cotta Perhe	6
Alexander Pushkin'ilta	Andreas Jelky'n	6
Alexander Pushkin'ilta	Otto Ludwig'ilta	6
Robert Uggla	Uno Kurton	6
Georg Snellman	Uno Kurtsn	6
Georg Snellman	Lydecken K	6
Georg Snellman	Uno Äurtén	6
Elias Lönnrot	Martti Luterus	6
A. Törngren	Gustaf Paulig	6
I. Hedström	Julius Åkerman	6
Hugo Ekström	Lars Thuring	6
Pyhä Raamattu	Walter Scott	6
Fredrik Liljeros'in	Viktor Ekroos	6
Carl Wikström	Lydecken K	6
Carl Wikström	Uno Kurton	6
Carl Wikström	Viktor Hoving	6
Carl Wikström	Gustaf Paulig	6
Carl Wikström	Uno Kurttu	6
A. Almberg	O. Donner	6
Daniel Nyblin	OSKAR LINDBLAD	6
A. Th	Selim von Pfaler	6
Carl Borenius	Elias Lönn-	6
Carl Borenius	Gustaf Erholm	6
Carl Borenius	Elias Ijönnrot	6
Carl Borenius	Herra In	6
Gustaf Paulig	Viktor Ekroos	6
Gustaf Paulig	Victor Liljeroth	6
Gustaf Paulig	Victor Hoving	6
Gustaf Paulig	Robert Uggla	6
Gustaf Paulig	Oskar Hync'n'in	6
H. Kock	Lars Krogius	6
Alfred Vjörkstsn	August Eklöf	6
Alfred Vjörkstsn	Jon Sandman	6
Alfred Vjörkstsn	Carl Wikström	6
Don Juan	Theodor Thorman	6
Don Juan	Don Ottawio	6
Jon Sandman	Lydecken K	6
Jan Forsen	Lydecken H	6
Adolf Torngren	Walter Scott	6
Gustaf Erholm	I. Hedström	6
Gustaf Erholm	Walter Scott	6
Mark Twain	Tom Sawyer	6
Mark Twain	Yrjö Maunu	6
A. Sola	Kasimir Molander	6
August Eklof	Georg Snellman	6
Herra Th	Saima Wiipurista	6
August Etlöf	Jon Sandman	6
Oskar Palmgren	Viktor Ekroos	6
Alfred Björksten	Sari Wikström	6
John Aspegren	Otto Wendelin	6
Tom Sawyer	Yrjö Maunu	6
Adolf Kotilainen	Herra In	6
Adolf Kotilainen	A. Holmström	6
Lydecken K	Robert Uggla	6
A. Holmström	Herra Th	6
Emil Dahl	Selim von Pfalei	6
Emil Dahl	Walter Scott	6
Alfred Sjöström	Hugo Ekström	6
OSKAR LINDBLAD	Wilhelm Dittmar	6
OSKAR LINDBLAD	Werner Hertzberg	6
OSKAR LINDBLAD	Viktor Mannelin	6
Oskar Thil	Otto Wendelin	6
Emil Nyqvist	John Stenberg	6
Holger Drachmann	Walter Scott	6
Joachim Franck	Victor Hoving	6
Anton Lilius	Olli Wuori	6
Axel Pihlgren	Wilhelm Kommonen	7
Alfred Hertzberg	Petter Parviainen	7
Ernst Dahlström	Walter Scott	7
