Source	Target	Weigth
Emanuel Nurmi	Wäinö Heikki Hakkarainen	2
Emanuel Nurmi	Johan Arthur Taimi	2
Emanuel Nurmi	Juho Nestor Nurmi	2
Emanuel Nurmi	Herman Asikainen	2
Emanuel Nurmi	Viktor Saarinen	2
Emanuel Nurmi	Kalle Jäntti	2
Emanuel Nurmi	Johan Alfred Mäkipää	2
Emanuel Nurmi	Hjalmar Nieminen	2
Emanuel Nurmi	Isak Kalliomäki	2
Emanuel Nurmi	Johannes Kaipainen	2
Emanuel Nurmi	Henrik Filppulan	2
Armas Launis	Ilmari Krohn	2
Armas Launis	Mikael Nyberg	2
Johan Emerik Söderholm	Viktoria Ljungqvist	2
Anna Erene Mäkinen	Anton Edvard Lehtonen	2
Aune Krohn	Ingeborg Maria	2
Aune Krohn	THEODOR STORM	2
Aune Krohn	Ester Peltonen	2
Aune Krohn	Leo Tolstoi	2
Aune Krohn	Ilmari Krohn	2
Heikki Kiiskinen	Kyösti Kallio	2
Ester Peltonen	Leo Tolstoi	2
Ester Peltonen	Ingeborg Maria	2
Ester Peltonen	THEODOR STORM	2
Juhani Aho	Paavo Cajander	2
Juhani Aho	Santeri Ingman	2
Helmi Lindelöf	Helmi Tähtinen	2
Hilja Pärssinen	Miina Sillanpää	2
Artur Hilden	Vilho Selin	2
Artur Hilden	Hameenlinna Joh.	2
Artur Hilden	Otto Weckuian	2
Artur Hilden	Hämeenlinna Jah	2
Eino Leino	Kaarle Halme	2
Eino Leino	Simo Kaario	2
Eino Leino	Jaana Rönty	2
Eero Erkko	Jonas Castren	2
Eero Erkko	Santeri Ingman	2
Lilli Högbahl	Mimmi Lähdeoja	2
Vihtori Peltonen	Wäinö Salminen	2
Bertha von	Eero Hyvärinen	2
Johan Viktor Alanko	Juho Nestor Nurmi	2
Johan Viktor Alanko	Wilho Aaltonen	2
Johan Viktor Alanko	Juho Kustaa Rantanen	2
Johan Viktor Alanko	Vihtori Eloranta	2
Johan Viktor Alanko	Wilhelm Jaakkola	2
Johan Viktor Alanko	Kalle Jäntti	2
Johan Viktor Alanko	Jooseppi Rajala	2
Johan Viktor Alanko	Matti Veijalainen	2
Alvar Renqvist	Lennart Cajander	2
Alvar Renqvist	August Ramsay	2
Hilma Räsänen	Miina Sillanpää	2
Heikki Tandefelt	Signe Kolthoff	2
Heikki Tandefelt	Oskar Merikanto	2
Olli Räsänen	Viktor Kujala	2
Maria Laine	Maria Raunio	2
Erkki Pulli	Justus Ripatti	2
Erkki Pulli	Oskari Laine	2
Erkki Pulli	Lauri Ingman	2
Erkki Pulli	Mikko Sipponen	2
Erkki Pulli	Taneli Nykänen	2
Erkki Pulli	Juho Torppa	2
Matti Rinta	Wäinö Salminen	2
Anni Huotari	Miina Sillanpää	2
Anni Huotari	Maria Laine	2
Johanna Charlotta Oja	Salomon Kaukonen	2
Johanna Charlotta Oja	Julia Alina Sjöstedt	2
Teodor Homen	Valter Parwiainen	2
Jaakko Hurtti	Kaarle Krohn	2
Kaarlo Niininen	Wäinö Heikki Hakkarainen	2
Kaarlo Niininen	Viktor Saarinen	2
Kaarlo Niininen	Oskar Kingelinin	2
Kaarlo Niininen	Richard Lindroosin	2
Kaarlo Niininen	Kalle Jäntti	2
Karl Edvard Öhrnberg	Maria Vaittinen	2
Juho Tulikoura	Kaarlo Heini	2
